score,iteration,sift_nOctaveLayers,sift_sigma,min_match_count,sift_contrastThreshold,sift_edgeThreshold,good_matches_threshold,ransac
8,117,7,0.8,42,0.035,10,0.7,4.0
8,148,7,0.8,42,0.045,9,0.72,3.5
8,116,7,0.8,42,0.035,10,0.7,3.5
8,112,7,0.8,42,0.035,9,0.72,3.5
8,105,7,0.8,40,0.045,11,0.7,4.0
8,104,7,0.8,40,0.045,11,0.7,3.5
8,182,7,0.9,38,0.04,9,0.7,3.5
8,176,7,0.9,38,0.035,11,0.7,3.5
8,206,7,0.9,38,0.045,10,0.7,3.5
8,192,7,0.9,38,0.04,11,0.68,3.5
8,207,7,0.9,38,0.045,10,0.7,4.0
8,213,7,0.9,38,0.045,11,0.7,4.0
8,9,7,0.8,38,0.035,10,0.7,4.0
8,6,7,0.8,38,0.035,10,0.68,3.5
8,38,7,0.8,38,0.045,9,0.7,3.5
8,39,7,0.8,38,0.045,9,0.7,4.0
8,40,7,0.8,38,0.045,9,0.72,3.5
8,1,7,0.8,38,0.035,9,0.68,4.0
8,7,7,0.8,38,0.035,10,0.68,4.0
8,330,7,1.0,38,0.035,10,0.68,3.5
8,324,7,1.0,38,0.035,9,0.68,3.5
8,94,7,0.8,40,0.045,9,0.72,3.5
8,131,7,0.8,42,0.04,9,0.72,4.0
8,138,7,0.8,42,0.04,11,0.68,3.5
8,159,7,0.8,42,0.045,11,0.7,4.0
8,84,7,0.8,40,0.04,11,0.68,3.5
8,80,7,0.8,40,0.04,10,0.7,3.5
8,74,7,0.8,40,0.04,9,0.7,3.5
8,85,7,0.8,40,0.04,11,0.68,4.0
7,2,7,0.8,38,0.035,9,0.7,3.5
7,248,7,0.9,40,0.04,11,0.7,3.5
7,291,7,0.9,42,0.04,9,0.7,4.0
7,237,7,0.9,40,0.04,9,0.7,4.0
7,165,7,0.9,38,0.035,9,0.7,4.0
7,26,7,0.8,38,0.04,10,0.7,3.5
7,164,7,0.9,38,0.035,9,0.7,3.5
7,387,7,1.0,40,0.035,10,0.7,4.0
7,27,7,0.8,38,0.04,10,0.7,4.0
7,195,7,0.9,38,0.04,11,0.7,4.0
7,194,7,0.9,38,0.04,11,0.7,3.5
7,336,7,1.0,38,0.035,11,0.68,3.5
7,326,7,1.0,38,0.035,9,0.7,3.5
7,95,7,0.8,40,0.045,9,0.72,4.0
7,333,7,1.0,38,0.035,10,0.7,4.0
7,219,7,0.9,40,0.035,9,0.7,4.0
7,218,7,0.9,40,0.035,9,0.7,3.5
7,331,7,1.0,38,0.035,10,0.68,4.0
7,41,7,0.8,38,0.045,9,0.72,4.0
7,170,7,0.9,38,0.035,10,0.7,3.5
7,81,7,0.8,40,0.04,10,0.7,4.0
7,76,7,0.8,40,0.04,9,0.72,3.5
7,290,7,0.9,42,0.04,9,0.7,3.5
7,236,7,0.9,40,0.04,9,0.7,3.5
7,162,7,0.9,38,0.035,9,0.68,3.5
7,272,7,0.9,42,0.035,9,0.7,3.5
7,273,7,0.9,42,0.035,9,0.7,4.0
7,122,7,0.8,42,0.035,11,0.7,3.5
7,279,7,0.9,42,0.035,10,0.7,4.0
7,123,7,0.8,42,0.035,11,0.7,4.0
7,12,7,0.8,38,0.035,11,0.68,3.5
7,13,7,0.8,38,0.035,11,0.68,4.0
7,404,7,1.0,40,0.04,10,0.7,3.5
7,410,7,1.0,40,0.04,11,0.7,3.5
7,356,7,1.0,38,0.04,11,0.7,3.5
7,163,7,0.9,38,0.035,9,0.68,4.0
7,411,7,1.0,40,0.04,11,0.7,4.0
7,143,7,0.8,42,0.04,11,0.72,4.0
7,149,7,0.8,42,0.045,9,0.72,4.0
7,115,7,0.8,42,0.035,10,0.68,4.0
7,224,7,0.9,40,0.035,10,0.7,3.5
7,169,7,0.9,38,0.035,10,0.68,4.0
7,67,7,0.8,40,0.035,11,0.68,4.0
7,171,7,0.9,38,0.035,10,0.7,4.0
6,141,7,0.8,42,0.04,11,0.7,4.0
6,302,7,0.9,42,0.04,11,0.7,3.5
6,249,7,0.9,40,0.04,11,0.7,4.0
6,86,7,0.8,40,0.04,11,0.7,3.5
6,168,7,0.9,38,0.035,10,0.68,3.5
6,285,7,0.9,42,0.035,11,0.7,4.0
6,278,7,0.9,42,0.035,10,0.7,3.5
6,32,7,0.8,38,0.04,11,0.7,3.5
6,45,7,0.8,38,0.045,10,0.7,4.0
6,30,7,0.8,38,0.04,11,0.68,3.5
6,240,7,0.9,40,0.04,10,0.68,3.5
6,241,7,0.9,40,0.04,10,0.68,4.0
6,242,7,0.9,40,0.04,10,0.7,3.5
6,175,7,0.9,38,0.035,11,0.68,4.0
6,183,7,0.9,38,0.04,9,0.7,4.0
6,189,7,0.9,38,0.04,10,0.7,4.0
6,188,7,0.9,38,0.04,10,0.7,3.5
6,186,7,0.9,38,0.04,10,0.68,3.5
6,297,7,0.9,42,0.04,10,0.7,4.0
6,140,7,0.8,42,0.04,11,0.7,3.5
6,87,7,0.8,40,0.04,11,0.7,4.0
5,243,7,0.9,40,0.04,10,0.7,4.0
5,231,7,0.9,40,0.035,11,0.7,4.0
5,296,7,0.9,42,0.04,10,0.7,3.5
5,229,7,0.9,40,0.035,11,0.68,4.0
5,284,7,0.9,42,0.035,11,0.7,3.5
5,223,7,0.9,40,0.035,10,0.68,4.0
5,303,7,0.9,42,0.04,11,0.7,4.0
5,174,7,0.9,38,0.035,11,0.68,3.5
