index,score,params,iteration
152,75,"{'sift_nfeatures': 0, 'sift_nOctaveLayers': 3, 'sift_contrastThreshold': np.float64(0.03575757575757575), 'sift_edgeThreshold': np.float64(6.919191919191919), 'sift_sigma': np.float64(0.7919191919191919), 'min_match_count': 56, 'good_matches_threshold': np.float64(0.7787878787878788), 'mask_scale': 1}",152
149,75,"{'sift_nfeatures': 0, 'sift_nOctaveLayers': 3, 'sift_contrastThreshold': np.float64(0.043838383838383836), 'sift_edgeThreshold': np.float64(6.111111111111111), 'sift_sigma': np.float64(0.795959595959596), 'min_match_count': 55, 'good_matches_threshold': np.float64(0.7090909090909091), 'mask_scale': 1}",149
147,75,"{'sift_nfeatures': 0, 'sift_nOctaveLayers': 3, 'sift_contrastThreshold': np.float64(0.05353535353535353), 'sift_edgeThreshold': np.float64(6.515151515151516), 'sift_sigma': np.float64(0.7878787878787878), 'min_match_count': 56, 'good_matches_threshold': np.float64(0.7848484848484849), 'mask_scale': 1}",147
146,75,"{'sift_nfeatures': 0, 'sift_nOctaveLayers': 4, 'sift_contrastThreshold': np.float64(0.02404040404040404), 'sift_edgeThreshold': np.float64(10.454545454545453), 'sift_sigma': np.float64(0.5131313131313131), 'min_match_count': 45, 'good_matches_threshold': np.float64(0.7090909090909091), 'mask_scale': 1}",146
145,75,"{'sift_nfeatures': 0, 'sift_nOctaveLayers': 4, 'sift_contrastThreshold': np.float64(0.05434343434343433), 'sift_edgeThreshold': np.float64(6.01010101010101), 'sift_sigma': np.float64(0.5656565656565657), 'min_match_count': 58, 'good_matches_threshold': np.float64(0.7696969696969698), 'mask_scale': 1}",145
144,75,"{'sift_nfeatures': 0, 'sift_nOctaveLayers': 3, 'sift_contrastThreshold': np.float64(0.03373737373737373), 'sift_edgeThreshold': np.float64(13.787878787878787), 'sift_sigma': np.float64(0.5979797979797981), 'min_match_count': 56, 'good_matches_threshold': np.float64(0.696969696969697), 'mask_scale': 1}",144
162,75,"{'sift_nfeatures': 0, 'sift_nOctaveLayers': 4, 'sift_contrastThreshold': np.float64(0.023232323232323233), 'sift_edgeThreshold': np.float64(9.747474747474747), 'sift_sigma': np.float64(0.5090909090909091), 'min_match_count': 50, 'good_matches_threshold': np.float64(0.796969696969697), 'mask_scale': 1}",162
163,75,"{'sift_nfeatures': 0, 'sift_nOctaveLayers': 4, 'sift_contrastThreshold': np.float64(0.02808080808080808), 'sift_edgeThreshold': np.float64(12.97979797979798), 'sift_sigma': np.float64(0.5050505050505051), 'min_match_count': 48, 'good_matches_threshold': np.float64(0.8242424242424242), 'mask_scale': 1}",163
164,75,"{'sift_nfeatures': 0, 'sift_nOctaveLayers': 4, 'sift_contrastThreshold': np.float64(0.020808080808080807), 'sift_edgeThreshold': np.float64(10.05050505050505), 'sift_sigma': np.float64(0.5292929292929294), 'min_match_count': 45, 'good_matches_threshold': np.float64(0.6), 'mask_scale': 1}",164
165,75,"{'sift_nfeatures': 0, 'sift_nOctaveLayers': 4, 'sift_contrastThreshold': np.float64(0.021212121212121213), 'sift_edgeThreshold': np.float64(12.777777777777779), 'sift_sigma': np.float64(0.6787878787878788), 'min_match_count': 40, 'good_matches_threshold': np.float64(0.7727272727272727), 'mask_scale': 1}",165
166,75,"{'sift_nfeatures': 0, 'sift_nOctaveLayers': 3, 'sift_contrastThreshold': np.float64(0.05232323232323231), 'sift_edgeThreshold': np.float64(9.343434343434343), 'sift_sigma': np.float64(0.7191919191919192), 'min_match_count': 43, 'good_matches_threshold': np.float64(0.8757575757575757), 'mask_scale': 1}",166
167,75,"{'sift_nfeatures': 0, 'sift_nOctaveLayers': 4, 'sift_contrastThreshold': np.float64(0.03777777777777777), 'sift_edgeThreshold': np.float64(12.272727272727273), 'sift_sigma': np.float64(0.7474747474747475), 'min_match_count': 51, 'good_matches_threshold': np.float64(0.706060606060606), 'mask_scale': 1}",167
168,75,"{'sift_nfeatures': 0, 'sift_nOctaveLayers': 3, 'sift_contrastThreshold': np.float64(0.04222222222222222), 'sift_edgeThreshold': np.float64(9.545454545454545), 'sift_sigma': np.float64(0.6101010101010101), 'min_match_count': 51, 'good_matches_threshold': np.float64(0.6242424242424243), 'mask_scale': 1}",168
169,75,"{'sift_nfeatures': 0, 'sift_nOctaveLayers': 3, 'sift_contrastThreshold': np.float64(0.027676767676767675), 'sift_edgeThreshold': np.float64(7.929292929292929), 'sift_sigma': np.float64(0.7797979797979798), 'min_match_count': 52, 'good_matches_threshold': np.float64(0.6303030303030303), 'mask_scale': 1}",169
171,75,"{'sift_nfeatures': 0, 'sift_nOctaveLayers': 4, 'sift_contrastThreshold': np.float64(0.021212121212121213), 'sift_edgeThreshold': np.float64(13.484848484848484), 'sift_sigma': np.float64(0.7232323232323232), 'min_match_count': 51, 'good_matches_threshold': np.float64(0.803030303030303), 'mask_scale': 1}",171
172,75,"{'sift_nfeatures': 0, 'sift_nOctaveLayers': 4, 'sift_contrastThreshold': np.float64(0.045858585858585856), 'sift_edgeThreshold': np.float64(14.494949494949495), 'sift_sigma': np.float64(0.6747474747474748), 'min_match_count': 41, 'good_matches_threshold': np.float64(0.6727272727272727), 'mask_scale': 1}",172
173,75,"{'sift_nfeatures': 0, 'sift_nOctaveLayers': 4, 'sift_contrastThreshold': np.float64(0.03575757575757575), 'sift_edgeThreshold': np.float64(12.070707070707071), 'sift_sigma': np.float64(0.6868686868686869), 'min_match_count': 40, 'good_matches_threshold': np.float64(0.8), 'mask_scale': 1}",173
174,75,"{'sift_nfeatures': 0, 'sift_nOctaveLayers': 3, 'sift_contrastThreshold': np.float64(0.04101010101010101), 'sift_edgeThreshold': np.float64(8.535353535353536), 'sift_sigma': np.float64(0.6707070707070708), 'min_match_count': 52, 'good_matches_threshold': np.float64(0.6757575757575758), 'mask_scale': 1}",174
175,75,"{'sift_nfeatures': 0, 'sift_nOctaveLayers': 4, 'sift_contrastThreshold': np.float64(0.05111111111111111), 'sift_edgeThreshold': np.float64(9.646464646464647), 'sift_sigma': np.float64(0.6787878787878788), 'min_match_count': 40, 'good_matches_threshold': np.float64(0.6060606060606061), 'mask_scale': 1}",175
