score,params,iteration
75,"{'sift_nfeatures': 0, 'sift_nOctaveLayers': 4, 'sift_contrastThreshold': np.float64(0.04101010101010101), 'sift_edgeThreshold': np.float64(14.494949494949495), 'sift_sigma': np.float64(0.7838383838383838), 'min_match_count': 47, 'good_matches_threshold': np.float64(0.8151515151515152), 'mask_scale': 1}",219
75,"{'sift_nfeatures': 0, 'sift_nOctaveLayers': 4, 'sift_contrastThreshold': np.float64(0.043434343434343436), 'sift_edgeThreshold': np.float64(13.383838383838384), 'sift_sigma': np.float64(0.5898989898989899), 'min_match_count': 47, 'good_matches_threshold': np.float64(0.6909090909090909), 'mask_scale': 1}",218
75,"{'sift_nfeatures': 0, 'sift_nOctaveLayers': 4, 'sift_contrastThreshold': np.float64(0.05434343434343433), 'sift_edgeThreshold': np.float64(9.040404040404042), 'sift_sigma': np.float64(0.4565656565656566), 'min_match_count': 59, 'good_matches_threshold': np.float64(0.6393939393939394), 'mask_scale': 1}",217
75,"{'sift_nfeatures': 0, 'sift_nOctaveLayers': 4, 'sift_contrastThreshold': np.float64(0.04868686868686868), 'sift_edgeThreshold': np.float64(5.808080808080808), 'sift_sigma': np.float64(0.7151515151515151), 'min_match_count': 46, 'good_matches_threshold': np.float64(0.7242424242424242), 'mask_scale': 1}",232
75,"{'sift_nfeatures': 0, 'sift_nOctaveLayers': 3, 'sift_contrastThreshold': np.float64(0.045454545454545456), 'sift_edgeThreshold': np.float64(10.656565656565657), 'sift_sigma': np.float64(0.7919191919191919), 'min_match_count': 48, 'good_matches_threshold': np.float64(0.8424242424242424), 'mask_scale': 1}",231
75,"{'sift_nfeatures': 0, 'sift_nOctaveLayers': 4, 'sift_contrastThreshold': np.float64(0.059191919191919184), 'sift_edgeThreshold': np.float64(5.808080808080808), 'sift_sigma': np.float64(0.4363636363636364), 'min_match_count': 44, 'good_matches_threshold': np.float64(0.7363636363636363), 'mask_scale': 1}",230
75,"{'sift_nfeatures': 0, 'sift_nOctaveLayers': 4, 'sift_contrastThreshold': np.float64(0.043434343434343436), 'sift_edgeThreshold': np.float64(8.636363636363637), 'sift_sigma': np.float64(0.7030303030303031), 'min_match_count': 40, 'good_matches_threshold': np.float64(0.6515151515151515), 'mask_scale': 1}",145
75,"{'sift_nfeatures': 0, 'sift_nOctaveLayers': 3, 'sift_contrastThreshold': np.float64(0.04303030303030303), 'sift_edgeThreshold': np.float64(9.545454545454545), 'sift_sigma': np.float64(0.7393939393939395), 'min_match_count': 43, 'good_matches_threshold': np.float64(0.8606060606060606), 'mask_scale': 1}",214
75,"{'sift_nfeatures': 0, 'sift_nOctaveLayers': 4, 'sift_contrastThreshold': np.float64(0.05232323232323231), 'sift_edgeThreshold': np.float64(7.828282828282829), 'sift_sigma': np.float64(0.5373737373737374), 'min_match_count': 59, 'good_matches_threshold': np.float64(0.8696969696969696), 'mask_scale': 1}",213
75,"{'sift_nfeatures': 0, 'sift_nOctaveLayers': 4, 'sift_contrastThreshold': np.float64(0.020404040404040404), 'sift_edgeThreshold': np.float64(14.494949494949495), 'sift_sigma': np.float64(0.4161616161616162), 'min_match_count': 58, 'good_matches_threshold': np.float64(0.7303030303030302), 'mask_scale': 1}",212
75,"{'sift_nfeatures': 0, 'sift_nOctaveLayers': 4, 'sift_contrastThreshold': np.float64(0.02282828282828283), 'sift_edgeThreshold': np.float64(6.01010101010101), 'sift_sigma': np.float64(0.41212121212121217), 'min_match_count': 58, 'good_matches_threshold': np.float64(0.8757575757575757), 'mask_scale': 1}",211
75,"{'sift_nfeatures': 0, 'sift_nOctaveLayers': 3, 'sift_contrastThreshold': np.float64(0.020404040404040404), 'sift_edgeThreshold': np.float64(12.878787878787879), 'sift_sigma': np.float64(0.5777777777777778), 'min_match_count': 42, 'good_matches_threshold': np.float64(0.6727272727272727), 'mask_scale': 1}",210
75,"{'sift_nfeatures': 0, 'sift_nOctaveLayers': 4, 'sift_contrastThreshold': np.float64(0.03414141414141414), 'sift_edgeThreshold': np.float64(6.616161616161616), 'sift_sigma': np.float64(0.7111111111111111), 'min_match_count': 58, 'good_matches_threshold': np.float64(0.703030303030303), 'mask_scale': 1}",224
75,"{'sift_nfeatures': 0, 'sift_nOctaveLayers': 3, 'sift_contrastThreshold': np.float64(0.04222222222222222), 'sift_edgeThreshold': np.float64(10.353535353535353), 'sift_sigma': np.float64(0.5333333333333333), 'min_match_count': 46, 'good_matches_threshold': np.float64(0.7363636363636363), 'mask_scale': 1}",223
75,"{'sift_nfeatures': 0, 'sift_nOctaveLayers': 3, 'sift_contrastThreshold': np.float64(0.024444444444444442), 'sift_edgeThreshold': np.float64(12.474747474747474), 'sift_sigma': np.float64(0.5131313131313131), 'min_match_count': 43, 'good_matches_threshold': np.float64(0.6848484848484848), 'mask_scale': 1}",149
75,"{'sift_nfeatures': 0, 'sift_nOctaveLayers': 3, 'sift_contrastThreshold': np.float64(0.04909090909090909), 'sift_edgeThreshold': np.float64(12.272727272727273), 'sift_sigma': np.float64(0.7353535353535354), 'min_match_count': 41, 'good_matches_threshold': np.float64(0.8818181818181818), 'mask_scale': 1}",148
75,"{'sift_nfeatures': 0, 'sift_nOctaveLayers': 3, 'sift_contrastThreshold': np.float64(0.045858585858585856), 'sift_edgeThreshold': np.float64(11.464646464646464), 'sift_sigma': np.float64(0.7474747474747475), 'min_match_count': 55, 'good_matches_threshold': np.float64(0.6545454545454545), 'mask_scale': 1}",215
75,"{'sift_nfeatures': 0, 'sift_nOctaveLayers': 3, 'sift_contrastThreshold': np.float64(0.021616161616161617), 'sift_edgeThreshold': np.float64(6.313131313131313), 'sift_sigma': np.float64(0.5535353535353535), 'min_match_count': 41, 'good_matches_threshold': np.float64(0.8696969696969696), 'mask_scale': 1}",44
75,"{'sift_nfeatures': 0, 'sift_nOctaveLayers': 3, 'sift_contrastThreshold': np.float64(0.03212121212121212), 'sift_edgeThreshold': np.float64(5.808080808080808), 'sift_sigma': np.float64(0.6585858585858586), 'min_match_count': 59, 'good_matches_threshold': np.float64(0.7242424242424242), 'mask_scale': 1}",43
75,"{'sift_nfeatures': 0, 'sift_nOctaveLayers': 3, 'sift_contrastThreshold': np.float64(0.05353535353535353), 'sift_edgeThreshold': np.float64(9.646464646464647), 'sift_sigma': np.float64(0.5494949494949495), 'min_match_count': 44, 'good_matches_threshold': np.float64(0.6393939393939394), 'mask_scale': 1}",344
75,"{'sift_nfeatures': 0, 'sift_nOctaveLayers': 4, 'sift_contrastThreshold': np.float64(0.051515151515151514), 'sift_edgeThreshold': np.float64(11.969696969696969), 'sift_sigma': np.float64(0.4686868686868687), 'min_match_count': 54, 'good_matches_threshold': np.float64(0.9), 'mask_scale': 1}",343
75,"{'sift_nfeatures': 0, 'sift_nOctaveLayers': 4, 'sift_contrastThreshold': np.float64(0.031313131313131314), 'sift_edgeThreshold': np.float64(12.777777777777779), 'sift_sigma': np.float64(0.49292929292929294), 'min_match_count': 49, 'good_matches_threshold': np.float64(0.8272727272727273), 'mask_scale': 1}",381
75,"{'sift_nfeatures': 0, 'sift_nOctaveLayers': 4, 'sift_contrastThreshold': np.float64(0.05555555555555555), 'sift_edgeThreshold': np.float64(8.737373737373737), 'sift_sigma': np.float64(0.6585858585858586), 'min_match_count': 41, 'good_matches_threshold': np.float64(0.8484848484848485), 'mask_scale': 1}",18
75,"{'sift_nfeatures': 0, 'sift_nOctaveLayers': 3, 'sift_contrastThreshold': np.float64(0.05797979797979798), 'sift_edgeThreshold': np.float64(14.393939393939394), 'sift_sigma': np.float64(0.6383838383838384), 'min_match_count': 54, 'good_matches_threshold': np.float64(0.8363636363636364), 'mask_scale': 1}",32
75,"{'sift_nfeatures': 0, 'sift_nOctaveLayers': 3, 'sift_contrastThreshold': np.float64(0.046262626262626255), 'sift_edgeThreshold': np.float64(7.626262626262626), 'sift_sigma': np.float64(0.6747474747474748), 'min_match_count': 50, 'good_matches_threshold': np.float64(0.8818181818181818), 'mask_scale': 1}",31
75,"{'sift_nfeatures': 0, 'sift_nOctaveLayers': 3, 'sift_contrastThreshold': np.float64(0.045858585858585856), 'sift_edgeThreshold': np.float64(13.484848484848484), 'sift_sigma': np.float64(0.7595959595959596), 'min_match_count': 55, 'good_matches_threshold': np.float64(0.8424242424242424), 'mask_scale': 1}",296
75,"{'sift_nfeatures': 0, 'sift_nOctaveLayers': 4, 'sift_contrastThreshold': np.float64(0.029696969696969694), 'sift_edgeThreshold': np.float64(9.040404040404042), 'sift_sigma': np.float64(0.42424242424242425), 'min_match_count': 48, 'good_matches_threshold': np.float64(0.8636363636363636), 'mask_scale': 1}",40
